Article type,Article source,DOI,Title,Year,Language,Coordinates,Geographical location,Country,Scale,Theme,Infectious disease,General disease,Disease by transmission type,Pathogen group,Vector/reservoir/host,General Vectors,Method to assess disease risk,Ecosystem,Recommendations proposed,Research type,Knowledge areas,Type of Restoration,Impact of landscape degradation on disease,Impact of landscape restoration on disease,Impact on human-wildlife interactions,Evidence for Landscape restoration on disease outbreaks,Evidence for Landscape degradation on disease outbreaks,Evidence for effects on human-wildlife interactions,Are Socioeconomic factors taken into account,Limitations and challenges,Knowledge gaps/future research,Recommendations and proposed solutions,Risk of bias,Imprecision,Inconsistency ,Reporting bias,Quality of evidence (GRADE),Reviewer assigned,Reviewer Confidence,Reviewed,Conflict of interest
Original article,Web of science,10.1098/rsos.220582,Land reversion and zoonotic spillover risk,2022,English,no,Global,Global,Global,Impact of landscape restoration on spillover risk and disease outbreaks in humans.,Multiple,Multiple,Zoonoses,Not Applicable,NA,NA,Modelling,Terrestrial,Yes,Hypothesis/theoretical,Model,Reforestation,Indirect,indirect,Direct,"We found that land reversion can influence short- and long-term spillover risk in opposing ways, depending on attributes of regenerating land (e.g. wildlife community composition) and the rates at which it is created or lost. The greatest landscape-level spillover risk occurs when regenerating and cleared habitats have high spillover risk, and secondary forest slowly regains attributes of mature forest.","We found that land-use history influences the trajectory of spillover risk through time. When the initial landscape is mostly mature forest, landscape-level spillover risk initially peaks then falls as cleared land, which has the highest spillover risk, is created and subsequently lost to urbanization and reforestation (figure 2a).",NA,NA,"Here, we present a general modelling framework to explore the potential consequences of land-use change on zoonotic disease spillover risk. We acknowledge that this framework is a simplification, and that multiple ecological processes will influence disease spillover in any system [26,27]. Data scarcity often limits our ability to parameterize complex models related to disease transmission [28,29]. Here, we acknowledge this limitation and simplify the representation of disease transmission dynamics. Predicting future spillover risk under ongoing land-use change is challenging due to uncertainties associated with future deforestation and reforestation patterns, as well as the specific types of forests that will regrow [30,31]. Our results highlight the importance of considering the potential consequences of land-use change for disease spillover risk. However, further research is needed to refine our understanding of how spillover risk varies across different types of regenerating forests [32,33].","""Here, we highlight the novel finding that reforestation may not always reduce spillover risk relative to deforestation, particularly in the short term [36]."" However, further empirical data are required to validate these predictions. Our modelling framework could be further improved by incorporating more complex representations of forest regeneration processes. Further research is needed to refine our understanding of how spillover risk varies across different types of regenerating forests [32,33]. This research should focus on characterizing wildlife community composition, human use patterns, and vector dynamics in regenerating habitats relative to mature forests.","Our results highlight the importance of considering the potential consequences of land-use change for disease spillover risk... This suggests that prioritizing restoration practices that promote the return of complex forest structures might be valuable for mitigating spillover risk in the long term. Ecologists, wildlife biologists, and public health researchers should collaborate to develop effective strategies to mitigate disease spillover risk at the wildlife-human interface [37].",Medium,,,Low,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1371/journal.pone.0039452,Environmental Change and Disease Dynamics: Effects of Intensive Forest Management on Puumala Hantavirus Infection in Boreal Bank Vole Populations,2012,English,yes,Finland,Finland,Regional,Impact of landscape restoration on spillover risk and disease outbreaks in humans.,Puumala Hantavirus,Hantavirus,Zoonoses,Virus,Bank vole (Myodes glareolus),Rodents,Environment sampling,Terrestrial,No,Field study,Lessons learnt,Other,Indirect,Indirect,None,Bank voles in 100+ year forests were less likely to be PUUV infected than their conspecifics in younger stands.,"We found bank voles trapped in young forests were more likely infected, but the mechanisms of this association require further investigation. We also found infection probability to be host density dependent. Furthermore, we observed a statistically significant dilution effect in breeding animals when host density was controlled for, but not among non-breeding individuals in the fall. Based on our findings, it seems likely that the species composition of the small mammal community could indeed play a role in PUUV infection dynamics.",NA,NA,"We found bank voles trapped in young forests were more likely infected, but the mechanisms of this association require further investigation. PUUV-infected bank voles were found in all forest age classes during most of the four-year study. To date, a true dilution effect has been reported in three hantavirus studies [19], [55], [56] and has been hypothesized to take place when non-host species reduce intraspecific contact rates of hosts by altering their behavior [31].","The mechanisms of this association [higher infection probability in young forests] require further investigation"". Uncovering the links between host dynamics and virus microevolution is improving our understanding of PUUV distribution in rodents and the NE risk.",NA,Medium,Low,,Low,Medium,AF,High,TRUE,FALSE
Original article,citation chasing,10.1186/1476-072X-8-35,Geostatistical evaluation of integrated marsh management impact on mosquito vectors using before-after-control-impact (BACI) design,2009,English,yes,"Long Island, New York",USA,Local,Impact of landscape restoration on spillover risk and disease outbreaks in humans.,Mosquito-borne diseases,Mosquito-borne diseases,Vector-borne,Not Applicable,Mosquito,Mosquito,Environment sampling,Salt Marsh,No,Field study,Lessons learnt,Wetland restoration,Not Applicable,indirect,None,"""Although mosquito breeding was greatly reduced but not eliminated in OMWM marshes, this technique demonstrated considerable potential for effective mosquito control, which is also compatible with other natural resource management goals such as restoration, wildlife habitat enhancement, and invasive species abatement.""",NA,NA,NA,"""Continuation of larviciding activities throughout the study period illustrates the difficulties in conducting large scale experiments in natural settings. As was noted previously, pesticide application may confound the results on mosquito production making their interpretation more difficult. To avoid potential bias, Wertheim IMM adopted a set of criteria for larviciding triggers, which were uniformly applied to both treatment and control areas."" ""Random transect sampling was inadequate to assess the mosquito larval population due to a large proportion of dry ""no data"" sampling points. More informative targeted sampling necessitated extensive application of GPS and GIS tools to collect and analyze the data using geostatistical methods as an alternative or a supplement to the conventional inference statistics."" ""Due to high degree of spatial dependency or autocorrelation, the amount of information in the few positive transect samples was further reduced leading to smaller effective sample size, underestimated variance, and increased type I error [43]. ""","""No further interventions have been carried out in the treatment areas up to date. In the future, limited scope refinements to reduce or eliminate the remaining larval mosquito habitat may be considered based on geospatial surveillance results.""",NA,Medium,Medium,,Low,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1073/pnas.1008362107,Invasive honeysuckle eradication reduces tick-borne disease risk by altering host dynamics,2010,English ,yes,"St Louis, Missouri",USA,Regional,Impact of landscape restoration on spillover risk and disease outbreaks in humans.,Human Ehrlichiosis,Human Ehrlichiosis,Vector-borne,bacteria,White-tailed deer,Deer,Environment sampling,Terrestrial,Yes,Field study,Knowledge gaps,Species Removal,Indirect,Yes,None,"""The results of our honeysuckle eradication experiment mirrored those from our survey of naturally invaded and uninvaded areas. Specifically, we found significantly reduced densities of nymphs (F = 7.18; P = 0.043), but not adults (F = 3.04; P = 0.104), in plots in which honeysuckle was removed relative to plots in which it was left intact."" ""Overall, these experimental results confirm the hypothesis that deer preferentially use areas invaded by honeysuckle, increasing the abundance of ticks in those areas and increasing the resulting disease risk.""","""We found significantly higher abundances of both nymph (t = −4.011; P = 0.004) and adult (t = −3.117; P = 0.014) life stage ticks in honeysuckle-invaded plots relative to neighboring uninvaded native vegetation plots in the nine surveyed natural areas."" ""The density of nymphs infected with E. chaffeensis was ∼10-fold higher in the honeysuckle-invaded plots compared with the native vegetation plots (t = −3.766; P = 0.020; Fig. 1C), indicating that the presence of honeysuckle is associated with a substantial increase in disease risk.""",NA,NA,"""Although our results clearly indicate an increase in disease risk at the scale of a local honeysuckle patch, increased use of invaded areas by deer could cumulatively decrease the time spent in native vegetation, such that disease risk in native areas is decreased relative to preinvasion conditions.""","""The generalizability of our results to other plant invasions and infectious agents is an area in critical need of further study."" ""Furthermore, determining the spatial scale over which invasive honeysuckle increases tick-borne disease risk is a crucial area of future research."" ""Our findings contribute to a growing body of literature that illustrates how extensively invasive species can alter interactions in native communities. An accumulation of evidence indicates that the loss of biological diversity and the homogenization of wildlife communities have the potential to increase the prevalence of and risk of exposure to zoonotic diseases. Our results illustrate an underappreciated consequence of anthropogenic global change: that biological invasions may indirectly contribute to human risk of exposure to infectious diseases, mediated by how invasive species alter ecological interactions in the communities that they invade.""","""Further, our finding that removal of the invader mitigates disease risk, coupled with the benefits of invasive plant removal to wildlife communities, suggests a potential 'win-win' scenario for biodiversity conservation and human health."" ""Our results illustrate an underappreciated consequence of anthropogenic global change: that biological invasions may indirectly contribute to human risk of exposure to infectious diseases, mediated by how invasive species alter ecological interactions in the communities that they invade.""",Low,Low,,Low,High,AF,High,TRUE,FALSE
Original article,Web of science,10.1111/j.1526-100X.2011.00796.x,Reduction in Lyme Disease Risk as an Economic Benefit of Habitat Restoration,2012,English,yes,"Albany, New York",USA,Local,"Social, economic and public health impact on restoration of degraded landscapes",Lyme Disease,Lyme disease,Vector-borne,bacteria,Black-legged ticks,Ticks,Environment sampling,Terrestrial,Yes,Field study,Lessons learnt,Species Removal,Not Applicable,Yes,None,"""The habitat restoration caused a dramatic reduction in the abundance of black-legged ticks.""  ""The average abundance of ticks of every life stage in every season for which there were enough ticks to conduct statistical tests was significantly lower in the restoration sites than in the black locust dominated sites.""",NA,NA,"""Clearing, stump removal, and grading cost $5,000 per acre. Planning, permitting, seed collection, planting, monitoring, and first year maintenance totaled $323 per acre; remediation of the 556 acres cost $2.960 million. As it is impractical to burn all 556 acres in a single year, we assume one-fifth of the restored acreage will be burned each year. Controlled burns cost $5,000 per acre for an annual cost of $0.556 million/yr. Discounting future costs at 3% per year gives a present value cost of burning of $19.089 million, for a total present value cost of $22.049 million."" ""The average cost savings from averting one case of LD is $8,568, ranging from $5,580 to $11,556. With a discount rate of 3%, preventing one case of LD each year has a present value due to avoided direct and indirect costs of treatment of $294,168 in the average case (upper bound: $396,755, lower bound: $191,580)."" ""We only included costs for human illness, while tick-borne illnesses are known to cause pathology in domestic animals, often requiring expensive treatment. Americans spent $23 billion on veterinary care in 2006 (American Veterinary Medical Association 2007), and the costs of preventing and treating tick-borne diseases are likely to be substantial.""","""As APBP is a heavily visited site with high tick density, which the remediation almost completely eliminates, habitat restoration efforts in APBP can plausibly be justified by the health benefits of LD cases it is likely to avert. However, as it is impossible to know how many cases of LD are actually contracted in the preserve, it is important to consider the value of biodiversity preservation as well.""","""There is evidence that shrubs invasive to North America, such as Japanese barberry (Berberis thunbergii), honeysuckle (Lonicera spp.) and, more anecdotally, multiflora rose (Rosa multiflora), support higher tick densities than native vegetation... Removal of exotic-invasive animals may also affect risk."" ""More broadly, the restoration of high-diversity native animal communities may result in a 'dilution effect'... where disease incidence declines with increasing host diversity.""","""Management and removal of invasive species may reduce the transmission of zoonotic diseases, an easily overlooked benefit of some restorations. Support for restoration efforts is likely to be stronger if a public health benefit can be demonstrated."" ""When cost-benefit analyses are performed to assess the economic feasibility of a restoration project, cost-of-illness studies can be used to calculate the economic benefit for each case of disease averted. Combining cost-of-illness studies with contingent-valuation surveys, which take public preference into account, can provide persuasive arguments for the benefit of habitat restoration."" ",Medium,Low,,Medium,Medium,AF,High,TRUE,FALSE
Original article,citation chasing,10.1007/s11273-012-9251-9,Integrated Marsh Management (IMM): a new perspective on mosquito control and best management practices for salt marsh restoration,2012,English ,yes,"Long Island, New York",USA,Local,Impact of landscape restoration on spillover risk and disease outbreaks in humans.,Multiple,Mosquito-borne diseases,Vector-borne,Not Applicable,Mosquito,Mosquito,Environment sampling,Salt Marsh,Yes,Field study,Lessons learnt,Wetland restoration,Not Applicable,Yes,None,"""Overall, it is clearly possible to design and execute a salt marsh project that provides mosquito control and is compatible with natural resource management goals such as reduction of invasive vegetation and improving habitat for fish and wildlife."" ""Tidal channels and pools designed to closely resemble natural features can provide a level of mosquito control similar to those used in OMWM projects specifically designed for mosquito control.""",NA,NA,NA,"""While the Wertheim IMM project attained both mosquito control and natural resource project goals to date, each marsh system is different and the techniques described herein should be considered on a case by case (or a marsh by marsh) rather than being broadly applied."" ""Salt marsh systems are complex and that complexity varies from marsh system to system and region to region. It is likely that differences in both marsh system variability and the type of manipulations were driving the differences between the results of the WNWR IMM study and the findings of James-Pirri et al. (2011).""","""One of the remaining tasks is, therefore, to explicitly develop and test IMM techniques to increase salt marsh resilience to sea level rise and climate change."" ""It will take much more study to understand why they respond in certain ways.""","Overall, it is clearly possible to design and execute a salt marsh project that provides mosquito control and is compatible with natural resource management goals such as reduction of invasive vegetation and improving habitat for fish and wildlife."" ""Eliminating select mosquito grid ditches by filling does not necessarily lead to either new larval habitats or undesirable changes to the marsh."" ""Replacing mosquito ditches with constructed tidal channels and pools provides improved habitat for native fish and wildlife compared to the ditched marsh.""",Low,Medium,,Low,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1016/j.apgeog.2015.09.001,Influence of protected areas on malaria prevalence in Sub-Saharan Africa,2015,English,no,Sub-Saharan Africa,"Senegal, Mali, Angola, Somalia, Ethiopia, Kenya, Uganda, Malawi, Mozambique, Zambia, Republic of Congo, Cameroon, Nigeria, Liberia, Burkina Faso",Continental,Impact of landscape restoration on spillover risk and disease outbreaks in humans.,Malaria,Malaria,Vector-borne,protozoan,Mosquito,Mosquito,Historical data,Terrestrial,Yes,Field study,Model,Other,Not Applicable,Yes,None,"""Protected areas influence many of the biophysical, ecological, and social determinants and correlates of malaria burdens such as land-use/land-cover, biodiversity, socioeconomic conditions, and human behavior."" ""With exponential growth in the number and extent of PAs globally (IUCN & UNEP, 2014), and a weak shift from more utilized PAs to strictly managed PAs in the last decades of the 20th century in Africa (Zimmerer, Galt, & Buck, 2004), the importance of understanding potential links between PAs and malaria prevalence becomes apparent."" Rather, both our logistic regression and Random Forest models indicated that malaria prevalence was reduced at locations closer to PAs. ",NA,NA,"The results of the logistic regression and RF prevalence models indicated that distance is an important factor, with malaria prevalence increasing with greater distance to the edge of the nearest PA. We postulate that with closer proximity to PAs, malaria prevalence may be reduced due to improved socioeconomic conditions created by integrated conservation and development projects, low human population densities, and the predominance of shade habitats in forested regions not favored by some malaria vector species (Abbot et al., 2001, Luck, 2007, Yasuoka and Levins, 2007).","""Our results are also likely confounded by the fact that several IUCN classes had few prevalence observations in surrounding areas and/or high variability in prevalence."" ""Clearly, this distance does not realistically capture vector flight ranges or typical, daily human movements. Rather, our spatial extent is a good surrogate for other factors that vary at that scale and which are often related to proximity to PA, such as land cover."" ""However, distance was not an important predictor in the malaria presence–absence RF model. The greater importance of distance in areas with malaria may be the product of a scale mismatch.""","""Additional studies examining local variation in relationships between PAs and malaria prevalence would help improve our understanding of the role PAs play in shaping malaria prevalence at multiple scales."" ""This study does not definitively resolve conflicting reports regarding the relationship between PAs and malaria prevalence. However, it does reveal large scale trends between malaria prevalence and PAs which contradict some studies conducted at smaller scales in other geographic regions.""","We hope that this research will spur further work to inform best practices for malaria prevention, community development and conservation in Africa. By identifying continental scale patterns, we lay a foundation for more in-depth research into the underlying processes driving malaria in landscapes shaped by PAs.",Medium,Medium,,Low,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1093/jme/tjx071,"Diversity of Mosquitoes (Diptera: Culicidae) Attracted to Human Subjects in Rubber Plantations, Secondary Forests, and Villages in Luang Prabang Province, Northern Lao PDR",2017,English,yes,"Luang Prabang, Laos",Laos,Regional,Impact of landscape restoration on spillover risk and disease outbreaks in humans.,Multiple,Mosquito-borne diseases,Vector-borne,multiple,Mosquito,Mosquito,Environment sampling,Terrestrial,Yes,Descriptive,Knowledge gaps,Reforestation,Indirect,No,Direct,NA,"""The higher species heterogeneity in the secondary forests and villages could be related to the higher habitat diversity providing a higher diversity of aquatic habitats and consequently a higher heterogeneity of mosquito species.""","""The dominance of Ae. albopictus in secondary forest and rubber plantations is worrying. Many people work and live in these environments, with the incidence of arbo-viral diseases such as dengue becoming more frequent. Protecting people from this mosquito remains a high priority and requires a combination of protection methods, including larval source reduction and personal protection methods (Tangena et al. 2016)."" ""Further research is also needed to identify the best outdoor personal protection method, with currently limited field studies on the use of permethrin-treated clothing, transfluthrin-emitting devices and mosquito coils in a clip-on holder. In the future, to protect both local villagers and rubber workers from exposure to arboviruses, further research is needed to 1) identify the main larval breeding sites to determine whether targeted larval source management could be protective, and 2) develop improved methods of personal protection."" ""The risk analysis is further complicated by human behavior, which often results in a heterogeneous pathogen-exposure pattern within the population (Schwartz and Goldstein 1990, Reuben 1993, Vlassoff and Manderson 1998, National Institute for Occupational Safety and Health [NIOSH] 2005, Finch et al. 2014, Herdiana et al. 2016, Sang et al. 2016).""",NA,"""As the number of mosquitoes collected in the dry season is generally lower than in the rainy season, more frequent monthly surveys are advised for future studies to increase the reliability of the data."" ""Additionally, local daily rainfall data should be collected in future studies for detailed analysis of relation between rainfall and mosquito abundance."" ""The risk analysis is further complicated by human behavior, which often results in a heterogeneous pathogen-exposure pattern within the population.""","""Although this study provides a substantial addition to the species distribution literature, the true mosquito diversity is certainly much greater than our study suggests."" ""A more systematic surveillance of vectors in Lao PDR would provide valuable information on the risk from mosquito-borne diseases across the country."" ""For future entomological studies in Lao PDR, it will be of importance to use the identification keys from China, Myanmar, and Viet Nam for confirmation and cross-reference."" ""As rainfall can differ significantly between small areas, especially in hilly regions such as our study area, the data from the province is not sufficient for detailed analysis of relation.""
""Detailed studies are needed in dengue endemic areas to identify the main breeding sites of Ae. albopictus in rubber plantations before larval source reduction can be successful.""
""Further research is also needed to identify the best outdoor personal protection method, with currently limited field studies on the use of permethrin-treated clothing, transfluthrin-emitting devices and mosquito coils in a clip-on holder.""
""In the future, to protect both local villagers and rubber workers from exposure to arboviruses, further research is needed to 1) identify the main larval breeding sites to determine whether targeted larval source management could be protective, and 2) develop improved methods of personal protection.""","""Secondary forest and rubber plantations provide ideal habitats for Ae. albopictus, an efficient vector of many human arboviruses, to flourish. Protecting people entering forest habitats from this vector should be a priority.""",Medium,,,Medium,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1016/j.scitotenv.2020.141967,Moving to healthier landscapes: Forest restoration decreases the abundance of Hantavirus reservoir rodents in tropical forests,2021,English,yes,"Atlanictic forest, Brazil",Brazil,Regional,Impact of landscape restoration on spillover risk and disease outbreaks in humans.,Hantavirus ,Hantavirus ,Zoonoses,Virus,"Black-footed pygmy rice rat, hairy-tailed bolo mouse",Rodents,Environment sampling,Terrestrial,Yes,Field study,Knowledge gaps,Other,Indirect,indirect,None,"""Here we show that Hantavirus transmission risk to humans could be substantially reduced, given that the abundance of the two main reservoirs decreased between 40 and 90%, a benefit that has not yet been computed in restoration studies, at least to our knowledge."" ""In this study, forest restoration could benefit almost 2.8 million people, by decreasing Hantavirus reservoir rodents and probably diminishing the transmission risk of this disease."" ""Because the abundance of O. nigripes in agricultural areas slightly increased with forest cover, restoration would also result in increases in abundance in some parts of the biome (~3%). "" ""In summary, forest restoration would decrease the abundance of the two main Hantavirus reservoir rodents in the Atlantic Forest and probably diminish HCPS spread among rodents and humans.""","""In Brazil, most individuals affected by HCPS participate in agricultural activities (Martinelli et al., 2010; de Oliveira et al., 2015), probably because the reservoir rodents become more abundant in these agricultural habitats, and consequently, the chance of contact between a human and infected excreta is great.""",NA,"""Habitat restoration has high economic costs, but it can also generate high levels of benefits, which are both notoriously difficult to quantify. To our knowledge, the benefit in terms of zoonotic disease control has been poorly considered in previous restoration studies, especially in tropical areas. ""","""It is worth mentioning that this is an exploratory study, that estimates the effects of forest cover increase in the Atlantic Forest biome on the abundance of two important HCPS reservoir species, and further studies on this topic should be carried out."" ","""Furthermore, due to the effect found for O. nigripes, where its abundance increases in 3% of the Atlantic Forest after restoration, new studies evaluating different spatial restoration situations (i.e., restoration spatially allocated close to continuous forest areas, or connecting several small forest fragments, or in the middle of agricultural areas) could help to elucidate the mechanism behind this result.""","""In this situation, rodent control in combination with educational and preventive campaigns targeting how to avoid virus inhalation and contact with infected rodents excretes can be applied in order to prevent people from acquiring HCPS and diminish disease transmission risk."" ""Therefore, restoration actions could reduce the risk of zoonotic diseases spread, create healthier landscapes for humans and provide an important ecosystem service, with clear public health benefit.""",Medium,Low,,Low,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1016/j.buildenv.2016.11.028,Urban-microclimate effect on vector mosquito abundance of tropical green roofs,2017,English,yes,Hong Kong,China,Local,Impact of landscape restoration on spillover risk and disease outbreaks in humans.,Multiple,Mosquito-borne diseases,Vector-borne,multiple,Mosquito,Mosquito,Environment sampling,Terrestrial,Yes,Field study,Knowledge gaps,Afforestation,Not Applicable,indirect,Direct,"""Our findings demonstrated that elevated rooftops, vegetated or not, do not particularly present hospitable conditions for vectors mosquitoes."" ""The lack of protective corridor access connecting between windy rooftops and other more favorable urban spaces may also contribute to this avoidance pattern."" ""Dedicated analyses on the relationships between green-space types and vector ecology could inform land-use planning, greening design and integrated disease control strategies whilst cognizant of their multiple social, ecological, and economic benefits.""",NA,"""Conclusions drawn from such data can gauge human-vector contact risk in different urban environments. More robust characterization of vector ecology in densely-populated urban areas may help prevent disease transmission, as human inhabitants can increase their awareness of the potential hot spots and adopt preventive measures such as behavioral changes. This is particularly important for populations that are vulnerable to mosquito-borne diseases including pregnant women and children.""",NA,"""Conflicting published results may be due in part to temporal and spatial scale differences, and to microscale variations of habitats."" ""This study highlights the heterogeneity of urban environment and its associated microclimatic effects on vector ecology."" ""More research in other regions with disparate settings is recommended."" ""Future studies may adopt a finer resolution by collecting weekly measurements."" ""More research in other urban settings, climates, or vector conditions are needed to build and strengthen the knowledge base in urban vector ecology.""","""Our study can be extended by identifying water breeding bodies and performing ovitrapping and larval surveys to quantify the abundance of immature mosquito stages found at the experimental sites."" ""Microclimatic and/or vector abundance differences between intensive and extensive green roofs are also worthy of investigation.""","""Dedicated analyses on the relationships between green-space types and vector ecology could inform land-use planning, greening design and integrated disease control strategies whilst cognizant of their multiple social, ecological, and economic benefits."" ""More robust characterization of vector ecology in densely-populated urban areas may help prevent disease transmission, as human inhabitants can increase their awareness of the potential hot spots and adopt preventive measures such as behavioral changes."" ""Our study refutes the deeply ingrained preconception of green roof harboring mosquitoes."" ""More research in other urban settings, climates, or vector conditions are needed to build and strengthen the knowledge base in urban vector ecology.""",Medium,Low,,Medium,Low,AF,High,TRUE,FALSE
