Counts,Article type,URL,Title,Year,Country,theme,Results,Lessons learnt,Latitude ,Longitude
1,Case Report,https://doi.org/10.1016/j.wdp.2016.11.010,On the way to restore Guatemala’s degraded lands: Creating governance conditions,2016,Guatemala,Agroforestry,"The agroforestry system, mimicking natural forest structure, has encouraged wildlife return and boosted pollinator diversity,  while National Forest Service incentives help families sustain these practices, fostering long-term system sustainability.","The FLR Roundtable platform and PROBOSQUE Law have been crucial in implementing the National Strategy by fostering inter-sectoral collaboration, establishing a legal foundation for national restoration, and creating demonstration sites that engage local actors, highlight the benefits of land recovery, and provide valuable feedback at regional levels.",16.3331096822164,-89.417424405344
2,Case Report,https://www.ifad.org/en/w/projects/2000001242,Nicaraguan Dry Corridor Rural Family Sustainable Development Project (NICAVIDA) ,2016,Nicaragua,Sustainable agriculture,"Through these initiatives, 53,500 people in Nicaragua have received nutrition information, 1,500 hectares reforested, and 750 infrastructure projects—including wells, reservoirs, and seed banks—have been developed, along with 1,328 hectares reforested to improve water access and mitigate climate change impacts; 559 communities and 14,100 families, including 4,700 children, benefit from these efforts, which also include 5,529 wood-saving stoves reducing 58,280 tons of CO2 annually, and training for 95,731 people in natural resource management.","Community engagement, diversified livelihoods, resilient infrastructure, reforestation, nutritional education, and multi-level collaboration are key to fostering sustainable rural development and climate resilience.",12.793863879322762,-86.14899933510802
3,Case Report,https://imfn.net/restoring-the-landscape-to-improve-livelihoods-in-the-chorotega-model-forest/,Chorotega Model Forest,2011,Costa Rica,Agroforestry,"Five new regional organizations have been established to address water and forest issues, twenty integral farms are being developed, and a local trust now supports local and communal organizations.","The Chorotega Model Forest exemplifies how a flexible, integrated approach can restore resilient and productive landscapes, with current efforts focusing on enhancing forest connectivity, sustainable management of secondary forests, biodiversity mapping, and promoting agroforestry.",10.45770227,-85.4277036133371
4,Case Report,https://www.forestlandscaperestoration.org/case-studies/certifying-ecosystem-services-to-restore-forests-and-water-supplies-in-chile/,Forestal Arauco,2017,Chile,Water supply,"Forestal Arauco's management of Oncol Park has expanded its area from 754ha to 2,481ha, enhanced visitor safety and accessibility, increased visitor numbers, and promoted biodiversity by protecting endemic flora and fauna, with notable increases in sightings of species like Cougars and South American Gray Foxes.","Forest conservation and landscape restoration can go hand in hand with production, and that nature-based solutions can serve the long-term economic well-being and longevity of companies, as well as communities that depend on such ecosystems.",-42.583611121504,-73.8662194876621
5,Case Report,https://www.forestlandscaperestoration.org/case-studies/reversing-fragmentation-in-madagascars-wildlife-rich-forests/,Reversing fragmentation in Madagascar’s wildlife-rich forests,2004,Madagascar ,Agroforestry,"Restoration efforts have led 14 communes to integrate restoration into their development plans, established 35 community-based forest management arrangements, and supported 50 nurseries producing indigenous species, resulting in nearly 1 million saplings planted over 13 years; additional support for alternative income sources, like pig rearing, essential oils, and beekeeping, has benefited over 1,300 households.","Despite challenges like political instability affecting donor funding and forest security, the project has maintained over a decade of continuity, with local facilitators easing community concerns about external land-use interventions.",-20.0944627091945,47.9814577526308
6,Case Report,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/946311523671259769/burundi-landscape-restoration-and-resilience-project,Burundi Landscape Restoration and Resilience Project,2018,Burundi,Restoration,"Significant progress in the results framework includes a 45% reduction in erosion (90% of the target), a 70% increase in farmers adopting improved agricultural technology (148% of target), with women’s adoption at 53%, and a METT score of 55 (121% of target); employment interventions, watershed management, restoration planning, and land certification all exceeded targets by 100%, reflecting commendable project execution and adaptive learning from the field.","To support restoration, livelihood initiatives in agriculture, agro-industry, and the charcoal sector aim to reduce population vulnerability through green entrepreneurship, market access, and climate-resilient value chains, connecting urban and peri-urban communities and fostering youth entrepreneurship in Bujumbura as part of Burundi's post-COVID-19 recovery.","-3.365017954	",29.36587963
7,Case Report,"https://forestlandscaperestoration.org/case-studies/integrating-trees-into-a-restored-farming-landscape-in-rwanda/#:~:text=About%2012%2C000%20tree%20seedlings%20were,as%20Calliandra%20and%20Grevillea%20species.",Integrating trees into a restored farming landscape in Rwanda (IKI-TonF project),2016,Rwanda,Agroforestry,"Approximately 12,000 tree seedlings were planted across 200 hectares by farmers to improve catchment stability, with additional terraces supporting crops , fortified with Napier grass to combat erosion; a vegetable collection center has strengthened local market access, while nine dairy cows have been provided to boost milk production and demonstrate organic manure benefits, with future FAO support planned for livestock diversification focusing on small animals.",Limited funding for the project prompted the team to form strategic partnerships with national and local government authorities and NGOs specializing in agroforestry.,"-1.923662342	",30.11593274
8,Case Report,https://doi.org/10.1016/j.fecs.2022.100041,Exploring willingness-to-pay for the restoration and maintenance of reserved forests in the Greater Accra Region of Ghan,2017,Ghana,Agroforestry,"Of the 20,000 hectares under management, 10,000 hectares have been planted with teak for commercial viability and indigenous species for conservation, with plans to expand; while teak is harvested, native species are reserved for conservation along waterways and soil protection.","The restoration initiative is supported by a public-private partnership with Ghana's traditional landowners and Forestry Commission, fostering a balanced stakeholder framework among the company, local communities, and government, with benefit-sharing agreements to distribute timber harvest value equitably.","5.77531921	",-0.103361526
9,Case Report,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/193241468002436349/sahel-and-west-africa-program-sawap-in-support-of-the-great-green-wall,Sahel and West Africa Program (SAWAP) in Support of the THE WORLD BANK Great Green Wall Initiative ,2007,"Benin, Burkina Fasso, Chad, Ethiopia, Ghana, Mali, Mauritania, Niger, Nigeria, Senegal, Sudan, and Togo",Sustainable land and water management,"Despite diverse objectives, all SAWAP projects aligned with key performance indicators (KPIs) to increase land area under sustainable land and water management (SLWM) practices, raise the number of direct beneficiaries, enhance vegetation cover (using NDVI), and boost carbon accumulation in biomass and soil compared to baseline levels.","Future  projects should focus on scaling up cost-effective practices for smallholder farmers, emphasizing policy reforms to empower local communities and establishing incentive structures to sustain practices beyond project lifespans, while also strengthening land tenure security and enhancing biodiversity conservation; all project investments should be geo-referenced from the start to enable advanced monitoring and avoid attribution issues, and impacts on crop yields, food security, poverty reduction, and resilience should be tracked.",13.893400733404281, 2.1694002230246996
10,Case Report,"https://www.forestlandscaperestoration.org/case-studies/niger-farmers-taking-restoration-into-their-own-hands/#:~:text=In%20Niger%2C%20Farmer%20Managed%20Natural,4.5%20million%20people%20have%20benefitted.",NIGER: Farmer Managed Natural Regeneration,2006,Niger,Sustainable agriculture,"The program has restored tree cover across approximately 6 million hectares since the 1980s, increasing average tree density from 4 to 40 trees per hectare, boosting household incomes by up to $1,000 annually for about 4.5 million beneficiaries, and contributing to a yearly increase of 500,000 tons in cereal production.","Key challenges to adopting Farmer Managed Natural Regeneration include community beliefs about land management, theft of trees, livestock damage, and unfavorable tree ownership laws; overcoming these requires addressing misconceptions, fostering sustainable practices through community agreements, awareness campaigns, capacity building, peer mentoring, and advocacy to grant farmers rights to manage trees on their land, demonstrating that this can increase tree density without incurring government costs.","13.74933257	",2.100557851
