Article.number,Title,Authors,DOI,Year.of.publication,Scale.of.study,Type.of.literature,Type.of.study,Research.type,Primary.focus.areas,Secondary.focus.areas,General.disease,General.vector,Ecosystem,Main.findings,Latitude,Longitude
7,Influence of protected areas on malaria prevalence in Sub-Saharan Africa,E. D. Taber & E. A. H. Smithwick,10.1016/j.apgeog.2015.09.001,2015,Continental,Scientific literature,Restoration,Field study,Zoonoses/Infectious diseases,,Malaria,Mosquito,Terrestrial,Models indicated that malaria prevalence was reduced at locations closer to protected areas.,-2,20
81,Biodiversity in the Lyme-light: ecological restoration and tick-borne diseases in Europe,"C. F. Kohler, M. L. Holding, H. Sprong, P. A. Jansen & H. J. Esser",10.1016/j.pt.2023.02.005,2023,Continental,Scientific literature,Restoration,Review,Biodiversity,Zoonoses/Infectious diseases,Tick-borne diseases,Ticks,Terrestrial,"In line with the intermediate-disturbance hypothesis, the process of ecosystem restoration could first increase Tick-borne disease hazard, and later decrease, as the ecosystem reaches maturity.",55.5,28.8
1,Land reversion and zoonotic spillover risk,"J. E. Vinson, N. L. Gottdenker, L. F. Chaves, R. B. Kaul, A. M. Kramer, J. M. Drake & R. J. Hall",10.1098/rsos.220582,2022,Global,Scientific literature,Restoration,Hypothesis/theoretical,Zoonoses/Infectious diseases,,Multiple,NA,Terrestrial,"We find the forest regeneration rate, the spillover risk of regenerating forest relative to deforested land, and how rapidly regenerating forest regains attributes of mature forest determine landscape-level spillover risk. ",3.208716,-33.23893
23,Unhealthy Landscapes: Policy Recommendations on Land Use Change and Infectious Disease Emergence,"J. A. Patz, P. Daszak, G. M. Tabor, A. Alonso Aguirre, M. Pearl, J. Epstein, N. D. Wolfe, A. M. Kilpatrick, J. Foufopoulos, D. Molyneux & D. J. Bradley",10.1289/ehp.6877,2004,Global,Scientific literature,Degradation,Recommendation,Public healh,Local communities,Multiple,NA,All of above,"Deforestation, with subsequent changes in land use and human settlement patterns, has coincided with an upsurge of malaria and/or its vectors in Africa.",4.208716,-33.23893
27,The role of infectious diseases in biological conservation,"K. F. Smith, K. Acevedo-Whitehouse & A. B. Pedersen",10.1111/j.1469-1795.2008.00228.x,2009,Global,Scientific literature,Restoration,Review,Zoonoses/Infectious diseases,,Multiple,NA,All of above,"We suggest that while disease alone may currently threaten few species, pathogens may be a significant threat to already-endangered species, especially when disease interacts with other drivers.",5.208716,-33.23893
28,"Community diversity reduces Schistosoma mansoni transmission, host pathology and human infection risk","P. T. J. Johnson, P. J. Lund, R. B. Hartson & T. P. Yoshino",10.1098/rspb.2008.1718,2009,Global,Scientific literature,Restoration,Experimental,Biodiversity,Zoonoses/Infectious diseases,Schistosomiasis,Snail,Freshwater,Heterospecific communities with one or more non-host species alongside the target host supported 25-50 percent fewer infections relative to monospecific communities.,6.208716,-33.23893
34,Wildlife disease prevalence in human-modified landscapes,"G. Brearley, J. Rhodes, A. Bradley, G. Baxter, L. Seabrook, D. Lunney, Y. Liu & C. McAlpine",10.1111/brv.12009,2013,Global,Scientific literature,Degradation,Review,Zoonoses/Infectious diseases,,Multiple,NA,Terrestrial,"In our review, the indication is that the isolation of habitats may in fact increase contact rates and subsequent transmission and prevalence, possibly due to clumping of resources and individuals.",7.208716,-33.23893
35,Is restoring an ecosystem good for your health,"P. C. Speldewinde, D. Slaney & P. Weinstein",10.1016/j.scitotenv.2014.09.028,2014,Global,Scientific literature,Restoration,Review,Public healh,Zoonoses/Infectious diseases,Multiple,NA,All of above,"It is important to restore degraded ecosystems, as they can be detrimental to human health, but it is important to realise that there may be adverse health outcomes from poorly planned or implemented restoration projects.",8.208716,-33.23893
36,Of Mice And Men Lyme disease and biodiversity,"S. R. Granter, A. Bernstein & R. S. Ostfeld",10.1353/pbm.2014.0015,2014,Global,Scientific literature,Degradation,Review,Zoonoses/Infectious diseases,Biodiversity,Lyme disease,Ticks,Terrestrial,This study found a strong inverse relationship between small mammal diversity and numbers of infected ticks. ,9.208716,-33.23893
49,"Lyme disease ecology in a changing world: consensus, uncertainty and critical gaps for improving control","A. M. Kilpatrick, A. D. M. Dobson, T. Levi, D. J. Salkeld, A. Swei, H. S. Ginsberg, A. Kjemtrup, K. A. Padgett, P. M. Jensen, D. Fish, N. H. Ogden & M. A. Diuk-Wasser",10.1098/rstb.2016.0117,2017,Global,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Lyme disease,Small mammals,Terrestrial,These county-level correlations are difficult to determine because more local studies at the scale on which infection occurs have found mixed results or contradictory patterns between human incidence and the density of infected nymphs.,3.208716,-32.23893
57,Implementing forest landscape restoration under the Bonn Challenge: a systematic approach,"J. A. Stanturf, M. Kleine, S. Mansourian, J. Parrotta, P. Madsen, P. Kant, J. Burns & A. Bolte",10.1007/s13595-019-0833-z,2019,Global,Scientific literature,Degradation,Review,Public healh,Local communities,NA,NA,Terrestrial,"Social adaptation to global change generally, and with regard to FLR, will be challenging. Future work on FLR should concentrate on three areas: improving governance related to land tenure and use , developing capacity, and gaining the knowledge needed to address climate change challenges. ",4.208716,-32.23893
59,Land-Use Change Alters Host and Vector Communities and May Elevate Disease Risk,"F. Guo, T. C. Bonebrake & L. Gibson",10.1007/s10393-018-1336-3,2019,Global,Scientific literature,Degradation,Review,Biodiversity,Zoonoses/Infectious diseases,Multiple,NA,Terrestrial,Forest fragmentation and agricultural lands suggest that partial disturbance can lead to thriving host/vector communities.,5.208716,-32.23893
61,Zoonotic host diversity increases in human-dominated ecosystems,"R. Gibb, D. W. Redding, K. Q. Chin, C. A. Donnelly, T. M. Blackburn, T. Newbold & K. E. Jones",10.1038/s41586-020-2562-8,2020,Global,Scientific literature,Degradation,Descriptive,Biodiversity,Zoonoses/Infectious diseases,NA,NA,Terrestrial,The global expansion of agricultural and urban land that is forecast for the coming decades - much of which is expected to occur in low-and middle-income countries with existing vulnerabilities to natural hazards - has the potential to create growing hazardous interfaces for zoonotic pathogen exposure.,6.208716,-32.23893
63,Tropical peatlands and their conservation are important in the context of COVID-19 and potential future (zoonotic) disease pandemics,"M. E. Harrison, L. S. Wijedasa, L. E. S. Cole, S. M. Cheyne, S. Al Banna Choiruzzad, L. Chua, G. C. Dargie, C. E. N. Ewango, E. N. Honorio Coronado, S. A. Ifo, M. A. Imron, D. Kopansky, T. Lestarisa, P. J. O'Reilly, J. Van Offelen, J. Refisch, K. Roucoux, J. Sugardjito, S. A. Thornton, C. Upton & S. Page",10.7717/peerj.10283,2020,Global,Scientific literature,Degradation,Review,Zoonoses/Infectious diseases,,NA,NA,Terrestrial,"We conclude that sustainable management of tropical peatlands and their wildlife is important for mitigating impacts of the COVID-19 pandemic, and reducing the potential for future zoonotic EID emergence and severity, thus strengthening arguments for their conservation and restoration. ",7.208716,-32.23893
64,From drug discovery to coronaviruses: why restoring natural habitats is good for human health.,"P. Murage, H. R. Batalha, S. Lino & K. Sterniczuk",10.1136/bmj.n2329,2021,Global,Scientific literature,Restoration,Review,Public healh,Zoonoses/Infectious diseases,NA,NA,All of above,"Ecosystem destruction significantly challenges human health in terms of drug discovery, zoonotic diseases, food security and nutrition, and health and wellbeing",8.208716,-32.23893
67,Outbreaks of Vector-Borne and Zoonotic Diseases Are Associated With Changes in Forest Cover and Oil Palm Expansion at Global Scale,S. Morand & C. Lajaunie,10.3389/fvets.2021.661063,2021,Global,Scientific literature,Restoration,Descriptive,Zoonoses/Infectious diseases,,Multiple,NA,Terrestrial,"Our results clearly suggest that it is not only forest clearance that is responsible of outbreaks of infectious diseases, but also reforestation or afforestation, particularly in countries outside the tropical zone.",9.208716,-32.23893
71,"COVID-19, deforestation, and green economy","V. Singhal, D. Jinger, A. C. Rathore, R. Pal, I. Samal, T. K. Bhoi, V. Paramesh, S. Fahad, L. Jaremko, N. R. Abdelsalam & M. Jaremko",10.3389/ffgc.2023.1305779,2024,Global,Scientific literature,Degradation,Recommendation,Public healh,Local communities,Coronavirus,NA,Terrestrial,"Deforestation causes increased chances of human and wildlife interaction, thus communication of zoonotic diseases to mankind.",3.208716,-31.23893
73,"Land use-induced spillover: a call to action to safeguard environmental, animal, and human health","R. K. Plowright, J. K. Reaser, H. Locke, S. J. Woodley, J. A. Patz, D. J. Becker, G. Oppler, P. J. Hudson & G. M. Tabor",10.1016/S2542-5196(21)00031-0,2021,Global,Scientific literature,Degradation,Recommendation,Zoonoses/Infectious diseases,Public health,Multiple,Bats,Terrestrial,"Minimising anthropogenic habitat fragmentation and penetration, and the perimeter of habitat edges, should be one of the first principles in landscape management to reduce wildlife zoonoses risk. Regarding the type and extent of human impact, the risk of pathogen spillover varies considerably by landscape condition.",4.208716,-31.23893
74,Land-use change and rodent-borne diseases: hazards on the shared socioeconomic pathways,"G. E. Garc­ia-Pena, A. V. Rubio, H. Mendoza, M. Fernandez, M. T. Milholland, A. A. Aguirre, G. Suzan & C. Zambrana-Torrelio",10.1098/rstb.2020.0362,2021,Global,Scientific literature,Degradation,Descriptive,Zoonoses/Infectious diseases,Public health,Multiple,Rodents,Terrestrial,Our results demonstrated that land-use change could increase the hazard of zoonotic diseases as supported by previous studies.,5.208716,-31.23893
78,"Land-cover, land-use and human hantavirus infection risk: a systematic review","G. Moiranoa, A. Botta, M. Yang, M. Mangeruga, K. Murray & P. Vineis",10.1080/20477724.2023.2272097,2023,Global,Scientific literature,Degradation,Review,Zoonoses/Infectious diseases,,Hantavirus,Rodents,Terrestrial,"Agricultural land use was positively associated with increased human hantavirus infection risk, particularly in China and Brazil. In Europe, a positive association between forest cover and hantavirus infection incidence was observed. Studies that assessed the relationship between built-up areas and hantavirus infection risk were more variable, with studies reporting positive, negative or no associations.",6.208716,-31.23893
79,Promoting landscapes with a low zoonotic disease risk through forest restoration: The need for comprehensive guidelines,"P. R. Prist, C. Siliansky de Andreazzi, M. M. Vidal, C. Zambrana-Torrelio, P. Daszak, R. L. Carvalho & L. R. Tambosi",10.1111/1365-2664.14442,2023,Global,Scientific literature,Restoration,Review,Zoonoses/Infectious diseases,,NA,NA,Terrestrial,"Our conceptual framework raises two important points: (1) the effects of forest restoration may depend on the context of the existing landscape, especially the percentage of native vegetation existing at the beginning of the restoration; and (2) these effects will also be dependent on the spatial arrangement of the restored area within the existing landscape. ",7.208716,-31.23893
85,Human disturbance increases coronavirus prevalence in bats,"V. M. Warmuth, D. Metzler & V. Zamora-Gutierrez",10.1126/sciadv.add0688,2023,Global,Scientific literature,Degradation,Review,Zoonoses/Infectious diseases,,Coronavirus,Bats,Terrestrial,Our findings show that land modification increases Coronavirus infection prevalence in the global bat populations.,8.208716,-31.23893
91,Land-use planning for health: Tradeoffs and nonlinearities govern how land-use change impacts vector-borne disease risk,"M. P. Kain, A. J. MacDonald, E. A. Mordecai & L. Mandle",10.1101/2021.06.09.447801,2021,Global,Scientific literature,Restoration,Hypothesis/theoretical,Zoonoses/Infectious diseases,,Multiple,Mosquito,Terrestrial,"While we found that different forest restoration strategies can have different impacts on disease risk in a spatially heterogeneous way, we did also find similarities in how patchy vs contiguous reforestation impacted the landscape-level average risk for each disease.",9.208716,-31.23893
99,The effect of biodiversity on the hantavirus epizootic,I. D. Peixoto & G. Abramson,10.1890/0012-9658(2006)87[873:TEOBOT]2.0.CO;2,2006,Global,Scientific literature,Restoration,Hypothesis/theoretical,Biodiversity,Zoonoses/Infectious diseases,Hantavirus,Rodents,Terrestrial,A reduction of the seroprevalence of hantavirus in the host species is observed in this study.,3.208716,-30.23893
117,Consequences of Landscape Fragmentation on Lyme Disease Risk: A Cellular Automata Approach,"S. Li, N. Hartemink, N. Speybroeck & S. O. Vanwambeke",10.1371/journal.pone.0039612,2012,Global,Scientific literature,Degradation,Hypothesis/theoretical,Zoonoses/Infectious diseases,,Lyme disease,Ticks,Terrestrial,"Increasing fragmentation by decreasing coverage of woodland and decreasing size of blocks lead to (i) an increase of the NIP and DIN in woodlands adjacent to non-vegetated areas, and to (ii) a decrease of the NIP and DIN in woodlands adjacent to grasslands.",4.208716,-30.23893
121,Anthropogenic Land Use Change and Infectious Diseases: A Review of the Evidence,"N. L. Gottdenker, D. G. Streicker, C. L. Faust & C. R. Carroll",10.1007/s10393-014-0941-z,2014,Global,Scientific literature,Degradation,Review,Zoonoses/Infectious diseases,,Multiple,Multiple,Terrestrial,"In response to anthropogenic change, more than half of the studies (56.9%) documented increased pathogen transmission, 10.4% of studies observed decreased pathogen transmission, 30.4% had variable and complex pathogen responses, and 2.4% showed no detectable changes.",5.208716,-30.23893
129,Looking beyond land-use and land-cover change: Zoonoses emerge in the agricultural matrix,"I. Perfecto, L. F. Chaves, G. M. Fitch, Z. Hajian-Forooshani, B. Iuliano, K. Li, N. Medina, J. Morris, B. O. Jimenez, I. S. Rivera-Salinas, C. Su, J. Vandermeer, A. White & K. Williams-Guillen",10.1016/j.oneear.2023.08.010,2023,Global,Scientific literature,Restoration,Opinion/perspective,Public healh,Zoonoses/Infectious diseases,NA,NA,Terrestrial,"Here, we propose an approach to examining the relationship between agriculture and zoonoses that suggests that the agricultural matrix, within which other elements of the landscape are positioned, confers various degrees of landscape immunity. Highly simplified, homogeneous, and chemically intensive agricultural landscapes are unlikely to provide such immunity, while diverse agroecological matrices populated by small-/medium-scale farmers and a robust local food system likely will; i.e., they will decrease the probability of zoonosis emergence.",6.208716,-30.23893
137,Deforestation and vector-borne disease: Forest conversion favors important mosquito vectors of human pathogens,N. D. Burkett-Cadena & A. Y. Vittor,10.1016/j.baae.2017.09.012,2018,Global,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Multiple,Mosquito,Terrestrial,"Thus conversion of forest to agricultural land may bolster zoonotic diseases utilizing cattle, swine, or poultry as hosts. ",7.208716,-30.23893
139,Mosquito community composition shapes virus prevalence patterns along anthropogenic disturbance gradients,"K. Hermanns, M. Marklewitz, F. Zirkel, A. Kopp, S. Kramer-Schadt & S. Junglen",10.7554/eLife.66550,2023,Global,Scientific literature,Degradation,Review,Biodiversity,Zoonoses/Infectious diseases,NA,Mosquito,Terrestrial,Our data show that host species composition is critical for virus abundance.,8.208716,-30.23893
140,Pathogen spillover during land conversion,"C. L. Faust, H. I. McCallum, L. S. P. Bloomfield, N. L. Gottdenker, T. R. Gillespie, C. J. Torney, A. P. Dobson & R. K. Plowright",10.1111/ele.12904,2018,Global,Scientific literature,Degradation,Hypothesis/theoretical,Zoonoses/Infectious diseases,,NA,NA,Terrestrial,"We show that a hump-shaped relationship of pathogen transmission between two species occurs across a gradient of land conversion, with highest disease risk at intermediate levels of habitat loss. ",9.208716,-30.23893
142,Forests harbor more ticks than other habitats: A meta-analysis,"A. Bourdin, T. Dokhelar, S. Bord, I. van Halder, A. Stemmelen, M. Scherer-Lorenzen & H. Jactel",10.1016/j.foreco.2023.121081,2023,Global,Scientific literature,Degradation,Review,Zoonoses/Infectious diseases,,Tick-borne diseases,Ticks,Terrestrial,"Ixodes ticks were on average more abundant in forests than in any other non-forested habitats, the difference being more pronounced with mixed deciduous-coniferous than with deciduous forests.",3.208716,-29.23893
145,"Felling trees, furthering malaria: links between deforestation and disease in developing nations",K. Austin,10.3197/jps.2019.3.2.13,2019,Global,Scientific literature,Degradation,Review,Zoonoses/Infectious diseases,Local communities,Malaria,Mosquito,Terrestrial,"It should also be acknowledged that not all studies find a link between land cover change and malaria, as some demonstrate no link or point out that deforestation may decrease malaria rates over the long-term.",4.208716,-29.23893
156,Interaction between Old World fruit bats and humans: From large scale ecosystem services to zoonotic diseases,"R. V. Ramanantsalama, S. M. Goodman, M. Dietrich & C. Lebarbenchon",10.1016/j.actatropica.2022.106462,2022,Global,Scientific literature,Restoration,Review,Zoonoses/Infectious diseases,Local communities,NA,Bats,Terrestrial,"Fragmentation and conversion of forested areas into agricultural landscapes disturbed the role of Rousettus in the ecosystem services and have increased contact between humans and Rousettus, therefore facilitating infectious agent spillover.",5.208716,-29.23893
170,Impact of Land Use Changes and Habitat Fragmentation on the Eco-epidemiology of Tick-Borne Diseases,"M. A. Diuk-Wasser, M. C. VanAcker & M. P. Fernandez",10.1093/jme/tjaa209,2021,Global,Scientific literature,Degradation,Review,Zoonoses/Infectious diseases,,Tick-borne diseases,NA,Terrestrial,Habitat fragmentation can have both negative and positive effects on host population dynamics and host diversity.,6.208716,-29.23893
3,Geostatistical evaluation of integrated marsh management impact on mosquito vectors using before-after-control-impact (BACI) design,"I. Rochlin, T. Iwanejko, M. E. Dempsey & D. V. Ninivaggi",10.1186/1476-072X-8-35,2009,Local,Scientific literature,Restoration,Field study,Zoonoses/Infectious diseases,,Mosquito-borne diseases,Mosquito,Salt Marsh,Mosquito breeding is greatly reduced in Open Marsh Water Management.,40.79422619,-72.88066381
5,Reduction in Lyme Disease Risk as an Economic Benefit of Habitat Restoration,"S. Morlando, S. J. Schmidt & K. LoGiudice",10.1111/j.1526-100X.2011.00796.x,2012,Local,Scientific literature,Restoration,Field study,Public healh,Local communities,Lyme disease,Ticks,Terrestrial,Removal of an invasive tree reduces the risk of Lyme's Disease by approximately 98%.,42.73181777,-73.86529803
6,Integrated Marsh Management (IMM): a new perspective on mosquito control and best management practices for salt marsh restoration,"I. Rochlin, MJ. James-Pirri, S. C. Adamowicz, R. J. Wolfe, P. Capotosto, M. E. Dempsey, T. Iwanejko & D. V. Ninivaggi",10.1007/s11273-012-9251-9,2012,Local,Scientific literature,Restoration,Field study,Zoonoses/Infectious diseases,,Mosquito-borne diseases,Mosquito,Salt Marsh,Treatment marshes experienced a decrease in mosquito production.,40.76964633,-72.88564869
10,Urban-microclimate effect on vector mosquito abundance of tropical green roofs,G. K. L. Wong & C. Y. Jim,10.1016/j.buildenv.2016.11.028,2017,Local,Scientific literature,Restoration,Field study,Biodiversity,Zoonoses/Infectious diseases,Mosquito-borne diseases,Mosquito,Terrestrial,Elevated rooftops do not particularly present hospitable conditions for mosquitos.,22.2832568,114.1366012
11,"Forest Restoration and the Zoonotic Vector Anopheles balabacensis in Sabah, Malaysia","G. Davidson, P. Speldewinde, B. O. Manin, A. Cook, P. Weinstein & T. H. Chua",10.1007/s10393-024-01675-w,2024,Local,Scientific literature,Restoration,Field study,Biodiversity,Zoonoses/Infectious diseases,Malaria,Mosquito,Terrestrial,"Restored forests held very few mosquitos, only accounting for less than 3% of the total Anopheles collected. ",4.6,117.2
12,"Resource selection by New York City deer reveals the effective interface between wildlife, zoonotic hazards and humans","M. C. VanAcker, V. L. DeNicola, A. J. DeNicola, S. G. Aucoin, R. Simon, K. L. Toal, M. A. Diuk-Wasser & F. Cagnacci",10.1111/ele.14326,2023,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,Public health,Tick-borne diseases,Ticks,Terrestrial,"Deer use of forest, wetland & herbaceous habitats, low-intensity development & highly vegetated residential areas scaled alongside the availability of these habitats. In contrast, highly developed public & residential landcovers were used less than the amount available. ",40.57970167,-74.13823795
13,Deforestation for oil palm increases microclimate suitability for the development of the disease vector Aedes albopictus,"E. S. Saager, T. Iwamura, T. Jucker & K. A. Murray",10.1038/s41598-023-35452-6,2023,Local,Scientific literature,Restoration,Field study,Zoonoses/Infectious diseases,,Mosquito-borne diseases,Mosquito,Terrestrial,"Our model predicts that plantation maturation to higher vegetation cover moderates A. albopictus development rates, although suitability remains increased in lowland plantations compared to original forest areas.",4.84689341,117.2267236
16,Active Forest Management Reduces Blacklegged Tick and Tick-Borne Pathogen Exposure Risk,"C. E. Conte, J. E. Leahy & A. M. Gardner",10.1007/s10393-021-01531-1,2021,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Lyme disease,Ticks,Terrestrial,Timber harvesting may reduce the abundance of Ixodes scapularis ticks.,44.62486479,-68.29557049
17,Habitat modification and seasonality influence avian haemosporidian parasite distributions in southeastern Brazil,"F. C. Ferreira Junior, R. A. Rodrigues, V. A. Ellis, L. O. Leite, M. A. Z. Borges & E. M. Braga",10.1371/journal.pone.0178791,2017,Local,Scientific literature,Restoration,Field study,Zoonoses/Infectious diseases,,Multiple,Birds,Terrestrial,Advanced successional stages of forest are associated with lower prevalence of avian haemosporidian parasites.,-15.4,-44.12
18,Can restoration of afforested peatland regulate pests and disease?,L. Gilbert,10.1111/1365-2664.12141,2013,Local,Scientific literature,Restoration,Field study,Zoonoses/Infectious diseases,,Tick-borne diseases,Multiple,Terrestrial,Successful restoration of blanket bog from forestry will result in the virtual eradication of I. ricinus in a time-scale of around 13 years.,58.355,-3.896
20,The ecology of infectious disease: Effects of host diversity and community composition on Lyme disease risk,"K. LoGiudice, R. S. Ostfeld, K. A. Schmidt & F. Keesing",10.1073/pnas.0233733100,2003,Local,Scientific literature,Restoration,Field study,Zoonoses/Infectious diseases,Biodiversity,Lyme disease,Rodents,Terrestrial,Our study suggests that the preservation of vertebrate biodiversity and community composition can reduce the incidence of Lyme disease.,41.78517899,-73.73371326
25,Association between land cover and habitat productivity of malaria vectors in western Kenyan highlands,"S. Munga, N. Minakawa, G. Zhou, E. Mushinzimana, O. J. Barrack, A. K. Githeko & G. Yan",10.4269/ajtmh.2006.74.69,2006,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Malaria,Mosquito,Freshwater,This study support the hypothesis that recent land use changes in African highlands augment habitat conditions for malaria vectors.,0.282090362,34.75103838
32,"Anthropogenic Ecological Change and Impacts on Mosquito Breeding and Control Strategies in Salt-Marshes, Northern Territory, Australia","S. Jacups, A. Warchot & P. Whelan",10.1007/s10393-012-0759-5,2012,Local,Scientific literature,Restoration,Field study,Zoonoses/Infectious diseases,,Mosquito-borne diseases,Mosquito,Freshwater,The study suggests that landscape restoration efforts contribute to long-term risk reduction for mosquito-borne diseases.,-12.4,130.85
39,Land Use Patterns and the Risk of West Nile Virus Transmission in Central Illinois,"A. M. Gardner, R. L. Lampman & E. J. Muturi",10.1089/vbz.2013.1477,2014,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,West Nile virus,Mosquito,Terrestrial,"Mosquito species diversity was significantly higher in forest habitats compared to residential, agricultural, and prairie land use categories. All the four landscape types were equally important habitats for West Nile Virus vectors Cx. pipiens and Cx. restuans, contrary to previous findings that these species principally inhabit the residential areas. ",40.00753408,-88.09892807
40,Declines in large wildlife increase landscape-level prevalence of rodent-borne disease in Africa,"H. S. Young, R. Dirzo, K. M. Helgen, D. J. McCauley, S. A. Billeter, M. Y. Kosoy, L. M. Osikowicz, D. J. Salkeld, T. P. Young & K. Dittmar",10.1073/pnas.1404958111,2014,Local,Scientific literature,Degradation,Experimental,Biodiversity,Zoonoses/Infectious diseases,Bartonella infection,Rodents,Terrestrial,"The abundance of Bartonella-infected hosts varied strongly by treatment, with roughly twice as many infected hosts in plots where wildlife had been removed, due entirely to the higher density of rodent populations.",0.283,36.867
44,Do vegetated rooftops attract more mosquitoes? Monitoring disease vector abundance on urban green roofs,G. K. L. Wong & C. Y. Jim,10.1016/j.scitotenv.2016.08.102,2016,Local,Scientific literature,Restoration,Field study,Zoonoses/Infectious diseases,,Mosquito-borne diseases,Mosquito,Terrestrial,Elevated rooftops are not particularly hospitable to vector mosquitoes presumably due to microclimatic and other site conditions.,22.28443005,114.1377962
