Longitude,Latitude
11.54167,3.875
9.791667,4.041667
104.7083,-2.958333
-1.625,6.708333
103.625,-1.625
103.7917,1.541667
-4.041667,5.458333
-73.20833,-36.875
32.54167,0.375
18.70833,-34.125
101.4583,0.5416667
109.375,-0.04166667
29.45833,0.4583333
-10.70833,6.291667
-59.95833,-3.041667
101.7083,3.041667
103.4583,4.125
108.2917,22.79167
25.20833,0.5416667
-119.625,34.375
107.5417,16.45833
108.7917,15.45833
27.45833,-11.70833
-13.20833,8.458333
15.20833,-4.375
-75.625,6.208333
-1.291667,5.041667
111.2917,23.54167
101.4583,1.708333
-46.375,-23.54167
28.20833,-12.79167
152.2917,-4.291667
113.625,24.79167
102.2917,2.208333
22.375,-5.875
117.125,-0.4583333
-86.875,21.125
100.5417,5.375
-11.70833,7.958333
117.625,24.45833
109.125,14.54167
5.625,6.291667
100.4583,7.041667
99.04167,2.958333
-48.45833,-1.458333
-7.541667,7.375
109.2917,13.70833
7.041667,5.458333
3.958333,7.375
-13.45833,9.708333
