"UN_SDG_Regions","Rodents","Mosquito","Ticks","Birds","Multiple vectors","Bats","Other mammals","Other arthropods","Total vectors","Virus","Bacteria","Protozoan","Multiple pathogens","Helminth","Total pathogens","Field study","Descriptive","Review","Experimental","Hypothesis/theoretical","Total themes"
"Central America",4,2,0,0,2,1,1,2,12,3,0,4,3,0,10,9,0,2,1,0,12
"Eastern Africa",3,8,0,0,0,1,1,1,14,1,4,8,2,0,15,10,0,0,5,0,15
"Eastern Asia",0,2,1,0,2,1,0,0,6,2,1,0,2,1,6,5,1,0,0,0,6
"Europe",3,1,4,0,5,0,2,0,15,8,4,0,4,1,17,12,3,1,0,3,19
"Middle Africa",0,2,0,0,0,1,0,0,3,1,0,1,0,0,2,3,0,0,0,0,3
"Northern Africa",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
"Northern America",4,5,11,0,4,0,3,0,27,6,18,0,3,0,27,25,0,0,1,3,29
"Oceania",1,3,0,0,0,2,0,0,6,3,0,1,1,0,5,5,0,1,0,0,6
"South-eastern Asia",4,8,0,1,0,2,0,0,15,3,2,6,3,1,15,13,2,2,0,0,17
"South America",5,14,1,1,2,0,2,4,29,12,0,15,2,0,29,20,1,2,1,9,33
"Southern Africa",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"Southern Asia",1,2,0,0,1,2,0,0,6,2,0,1,2,0,5,4,0,1,0,1,6
"Western Africa",1,1,0,0,1,0,0,0,3,0,0,1,1,0,2,1,0,2,0,0,3
"Western Asia",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
