Counts,Article type,URL,Title,Year,Country,theme,Results,Lessons learnt,Latitude ,Longitude
12,Case Study,"https://www.forestlandscaperestoration.org/case-studies/afforestation-and-erosion-control-in-turkey-a-national-effort/#:~:text=During%20these%20five%20years%2C%20Turkey,and%2037%2C880%20hectares%20of%20rangeland.",Afforestation and Erosion Control- Turkey,2021,Turkey,Afforestation,"Over five years, Turkey accomplished the afforestation of 210,169 hectares, soil protection afforestation across 315,889 hectares, and private afforestation on 49,385 hectares, while rehabilitating 1.75 million hectares of degraded forest and 37,880 hectares of rangeland; trees were planted along 8,135 km of highways, 2,262 km of village roads, and in 27,000 school yards, health centers, and sanctuaries, employing 300,000 people annually for various activities and utilizing only local tree species to conserve biodiversity","The project's success has prompted the EIB and the Turkish Ministry of Forestry and Water Works to seek further collaboration opportunities to enhance ongoing afforestation and erosion control efforts, with future initiatives focusing on improving forest management quality and safeguarding biodiversity in Turkey’s forests.",39.47840320015267,35.908840426420596
33,Case Study,https://portals.iucn.org/library/sites/library/files/documents/2020-045-En.pdf,Legal requirements for FLR: Compensation and Offsetting in Colombia,2015,Columbia,Afforestation,"As of 2019, the project had resulted in 19 new conservation production agreements covering over 600,000 ha. ","Colombia's compensation and offsetting legal frameworks illustrate how FLR policies can effectively combine clear guidelines, flexible payment options, and community involvement, laying the groundwork for habitat-banking as a tool for private investment in restoration.",4.112362538,-74.0269929
34,Case Study,https://portals.iucn.org/library/sites/library/files/documents/2020-045-En.pdf,"Rights and tenure, law mandates: Land Tenure and Sustainable Use Incentives in Ethiopia",2014,Ethiopia,Afforestation,"In the Chilimo National Forest, Participatory Forest Management (PFM) led to a 7% increase in forest cover from 2003 to 2012 by reducing grazing, increasing forest income, and reducing conflict, underscoring the benefits of community involvement in FLR.","Ethiopia's experience with legal frameworks supporting private and community forest management highlights how FLR-friendly policies can increase forest cover by recognizing community rights, ensuring tenure security, and designating degraded lands for restoration through private and community incentives.",8.350475849620297,39.48710896215163
35,Case Study,https://portals.iucn.org/library/sites/library/files/documents/2020-045-En.pdf,"Rights and tenure, local governance: Community Forest Management in Madagascar",2016,Madagascar ,Afforestation,Deforestation rates are lower and environmental impacts more positive where property rights are respected and communities lead from the inception of management processes.,Madagascar’s community-led management of natural resources shows that aligning legal frameworks with local governance and sharing benefits equitably empower communities to lead FLR efforts effectively.,-20.09446271,47.98145775
36,Case Study,https://portals.iucn.org/library/sites/library/files/documents/2020-045-En.pdf,Public incentives and financing: Payments for Forest Ecosystem Services in Vietnam,2016,Vietnam,Afforestation,"PFES payments in Vietnam have supported over 500,000 households, boosting incomes significantly in areas with large forest cover, though payments are often small and questions over equitable access persist, particularly for new or land-insecure forest owners.","Vietnam’s PFES system supports FLR by generating funds that benefit communities, aligning with governance structures, and giving communities control over payments, highlighting the need for incentive-aligned payment levels and potential applications in aquaculture and carbon sequestration.",15.07290724,108.01962509839396
1,Case Study,https://doi.org/10.1016/j.wdp.2016.11.010,On the way to restore Guatemala’s degraded lands: Creating governance conditions,2016,Guatemala,Agroforestry,"The agroforestry system, mimicking natural forest structure, has encouraged wildlife return and boosted pollinator diversity,  while National Forest Service incentives help families sustain these practices, fostering long-term system sustainability.","The FLR Roundtable platform and PROBOSQUE Law have been crucial in implementing the National Strategy by fostering inter-sectoral collaboration, establishing a legal foundation for national restoration, and creating demonstration sites that engage local actors, highlight the benefits of land recovery, and provide valuable feedback at regional levels.",16.33310968,-89.41742441
3,Case Study,https://imfn.net/restoring-the-landscape-to-improve-livelihoods-in-the-chorotega-model-forest/,Chorotega Model Forest,2011,Costa Rica,Agroforestry,"Five new regional organizations have been established to address water and forest issues, twenty integral farms are being developed, and a local trust now supports local and communal organizations.","The Chorotega Model Forest exemplifies how a flexible, integrated approach can restore resilient and productive landscapes, with current efforts focusing on enhancing forest connectivity, sustainable management of secondary forests, biodiversity mapping, and promoting agroforestry.",10.45770227,-85.42770361
5,Case Study,https://www.forestlandscaperestoration.org/case-studies/reversing-fragmentation-in-madagascars-wildlife-rich-forests/,Reversing fragmentation in Madagascar’s wildlife-rich forests,2004,Madagascar ,Agroforestry,"Restoration efforts have led 14 communes to integrate restoration into their development plans, established 35 community-based forest management arrangements, and supported 50 nurseries producing indigenous species, resulting in nearly 1 million saplings planted over 13 years; additional support for alternative income sources, like pig rearing, essential oils, and beekeeping, has benefited over 1,300 households.","Despite challenges like political instability affecting donor funding and forest security, the project has maintained over a decade of continuity, with local facilitators easing community concerns about external land-use interventions.",-20.09446271,47.98145775
7,Case Study,"https://forestlandscaperestoration.org/case-studies/integrating-trees-into-a-restored-farming-landscape-in-rwanda/#:~:text=About%2012%2C000%20tree%20seedlings%20were,as%20Calliandra%20and%20Grevillea%20species.",Integrating trees into a restored farming landscape in Rwanda (IKI-TonF project),2016,Rwanda,Agroforestry,"Approximately 12,000 tree seedlings were planted across 200 hectares by farmers to improve catchment stability, with additional terraces supporting crops , fortified with Napier grass to combat erosion; a vegetable collection center has strengthened local market access, while nine dairy cows have been provided to boost milk production and demonstrate organic manure benefits, with future FAO support planned for livestock diversification focusing on small animals.",Limited funding for the project prompted the team to form strategic partnerships with national and local government authorities and NGOs specializing in agroforestry.,"-1.923662342	",30.11593274
8,Case Study,https://doi.org/10.1016/j.fecs.2022.100041,Exploring willingness-to-pay for the restoration and maintenance of reserved forests in the Greater Accra Region of Ghan,2017,Ghana,Agroforestry,"Of the 20,000 hectares under management, 10,000 hectares have been planted with teak for commercial viability and indigenous species for conservation, with plans to expand; while teak is harvested, native species are reserved for conservation along waterways and soil protection.","The restoration initiative is supported by a public-private partnership with Ghana's traditional landowners and Forestry Commission, fostering a balanced stakeholder framework among the company, local communities, and government, with benefit-sharing agreements to distribute timber harvest value equitably.","5.77531921	",-0.103361526
